	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:439)
	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)
	at java.util.concurrent.FutureTask.run(FutureTask.java:138)
	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
	at java.lang.Thread.run(Thread.java:680)
Caused by: org.apache.solr.common.SolrException: Error opening new searcher
	at org.apache.solr.core.SolrCore.<init>(SolrCore.java:821)
	at org.apache.solr.core.SolrCore.<init>(SolrCore.java:618)
	at org.apache.solr.core.CoreContainer.createFromLocal(CoreContainer.java:949)
	at org.apache.solr.core.CoreContainer.create(CoreContainer.java:984)
	... 10 more
Caused by: org.apache.solr.common.SolrException: Error opening new searcher
	at org.apache.solr.core.SolrCore.openNewSearcher(SolrCore.java:1434)
	at org.apache.solr.core.SolrCore.getSearcher(SolrCore.java:1546)
	at org.apache.solr.core.SolrCore.<init>(SolrCore.java:796)
	... 13 more
Caused by: org.apache.solr.common.SolrException: Error opening Reader
	at org.apache.solr.search.SolrIndexSearcher.getReader(SolrIndexSearcher.java:172)
	at org.apache.solr.search.SolrIndexSearcher.<init>(SolrIndexSearcher.java:183)
	at org.apache.solr.search.SolrIndexSearcher.<init>(SolrIndexSearcher.java:179)
	at org.apache.solr.core.SolrCore.openNewSearcher(SolrCore.java:1410)
	... 15 more
Caused by: java.io.FileNotFoundException: /Users/mynocturne/coursePortal/solr-4.3.0/example/solr/collection1/data/index/_1yh.si (No such file or directory)
	at java.io.RandomAccessFile.open(Native Method)
	at java.io.RandomAccessFile.<init>(RandomAccessFile.java:216)
	at org.apache.lucene.store.FSDirectory$FSIndexInput.<init>(FSDirectory.java:410)
	at org.apache.lucene.store.NIOFSDirectory$NIOFSIndexInput.<init>(NIOFSDirectory.java:123)
	at org.apache.lucene.store.NIOFSDirectory.openInput(NIOFSDirectory.java:80)
	at org.apache.lucene.store.NRTCachingDirectory.openInput(NRTCachingDirectory.java:232)
	at org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoReader.read(Lucene40SegmentInfoReader.java:50)
